"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"NSE_INDEX|Nifty 50","17",,"Nifty 50","24834.85","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY100 EQL Wgt","",,"NIFTY100 EQL Wgt","33965.75","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY50 EQL Wgt","",,"NIFTY50 EQL Wgt","31705.45","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NiftyM150Momntm50","",,"NiftyM150Momntm50","64192.45","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Auto","48",,"Nifty Auto","26250.7","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Commodities","5",,"Nifty Commodities","9449.05","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Mid Liq 15","31",,"Nifty Mid Liq 15","13356.65","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty GS 10Yr Cln","24",,"Nifty GS 10Yr Cln","882.29","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY TOTAL MKT","",,"NIFTY TOTAL MKT","13119.05","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Serv Sector","30",,"Nifty Serv Sector","31385.5","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty100 Liq 15","21",,"Nifty100 Liq 15","6910.15","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Bank","28",,"Nifty Bank","51295.95","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Next 50","20",,"Nifty Next 50","73400.65","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY AlphaLowVol","",,"NIFTY AlphaLowVol","29521.0","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Energy","11",,"Nifty Energy","43238.3","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Div Opps 50","25",,"Nifty Div Opps 50","6762.3","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY SMLCAP 50","",,"NIFTY SMLCAP 50","8813.25","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty PSE","16",,"Nifty PSE","11404.05","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY M150 QLTY50","",,"NIFTY M150 QLTY50","25115.75","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY100 LowVol30","",,"NIFTY100 LowVol30","20108.0","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty200Momentm30","",,"Nifty200Momentm30","36180.35","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty100ESGSecLdr","",,"Nifty100ESGSecLdr","4118.6","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty GS 10Yr","12",,"Nifty GS 10Yr","2356.01","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY Alpha 50","",,"NIFTY Alpha 50","58322.8","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty 500","7",,"Nifty 500","23292.05","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Realty","18",,"Nifty Realty","1077.65","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY INDIA MFG","",,"NIFTY INDIA MFG","14927.65","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY200 QUALTY30","",,"NIFTY200 QUALTY30","22068.45","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty GrowSect 15","35",,"Nifty GrowSect 15","12387.25","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY100 ESG","",,"NIFTY100 ESG","4954.95","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty GS 8 13Yr","45",,"Nifty GS 8 13Yr","2660.93","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Infra","36",,"Nifty Infra","9372.25","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY SMLCAP 250","",,"NIFTY SMLCAP 250","17647.4","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty50 PR 1x Inv","6",,"Nifty50 PR 1x Inv","197.35","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY MIDCAP 100","",,"NIFTY MIDCAP 100","57768.1","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty FinSrv25 50","",,"Nifty FinSrv25 50","25747.2","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY CONSR DURBL","",,"NIFTY CONSR DURBL","39212.3","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|India VIX","43",,"India VIX","12.25","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Pharma","47",,"Nifty Pharma","21603.1","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY MIDCAP 150","",,"NIFTY MIDCAP 150","21442.4","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty50 TR 1x Inv","14",,"Nifty50 TR 1x Inv","164.15","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty PSU Bank","3",,"Nifty PSU Bank","7270.65","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY HEALTHCARE","",,"NIFTY HEALTHCARE","13702.35","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY500 MULTICAP","",,"NIFTY500 MULTICAP","16249.9","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty IT","26",,"Nifty IT","40977.35","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY MIDSML 400","",,"NIFTY MIDSML 400","20116.1","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Media","39",,"Nifty Media","2075.65","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty 100","27",,"Nifty 100","25841.9","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY100 Qualty30","",,"NIFTY100 Qualty30","5957.75","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY LARGEMID250","",,"NIFTY LARGEMID250","16250.35","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY SMLCAP 100","",,"NIFTY SMLCAP 100","18854.0","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Midcap 50","33",,"Nifty Midcap 50","16296.3","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|NIFTY MICROCAP250","",,"NIFTY MICROCAP250","24439.35","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty50 PR 2x Lev","32",,"Nifty50 PR 2x Lev","14758.8","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty200 Alpha 30","",,"Nifty200 Alpha 30","28340.2","",,"",,"INDEX",,"NSE_INDEX"
"NSE_INDEX|Nifty Fin Service","15",,"Nifty Fin Service","23316.7","",,"",,"INDEX",,"NSE_INDEX"
